Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
1958,941.89,951.4,991.82,1024.41,904.29,925.52,1083.27,862.8,966.35,659.62,1162.55,849.59,799.71,752.1,1061.94,997.63,776.6,847.74,891,817.62,950.29,989.31,1151.12,3060.38,2566.42,3766.44,1340.2,1565.27,1579.76,3422.82,3343.27,2916.22,3552.9
1959,826.93,695.28,1096.47,867.9,675.27,631.3,920.31,569.06,614.54,902.86,899.45,603.55,492.73,1012.29,850.63,670.74,1016.7,574.99,645.87,522.54,737.98,1184.87,1063.51,2916.01,2381.97,2938.43,1449.2,1965.85,2011.51,2671.62,2599.22,2208.08,2790
1960,1044.95,921.96,1145.83,1099.58,1009.35,900.11,1235.26,825.74,893.55,1002.37,1197.26,924.95,754.82,1012.85,1059.6,950.16,998.11,904.92,944.42,820.16,990.82,1379.72,1384.84,3074,2608.21,3298,1256.7,1844.36,1860.32,2879.31,2799.27,2377.7,3010.2
1961,777.8,802.16,882.27,779.12,726.16,669.19,945.46,598.75,789.54,695.14,948.87,648.3,554.03,706.92,758.46,859.69,705.94,785.89,700.78,695.14,722.85,943.14,945.3,2434.62,2016.5,2847.3,1846.9,2439.06,2492.91,2734.81,2666.32,2304.18,2846.8
1962,762.48,662.82,885.21,788.22,710.51,672.56,888.53,603.17,714.02,711.38,896.92,621.11,533.91,834.93,808.91,730.01,851.99,669.3,673.75,618.06,706.68,832.28,885.12,2462.14,2094.37,2971.97,1424.3,2121.14,2178.31,2814.37,2745.12,2374.69,2927.6
1963,885.75,794.81,978.3,945.09,771.56,721.74,920.72,663.2,713.93,795.05,1049.54,709.77,591.85,1060.63,883.7,766.7,976.61,679.93,733.66,638.18,778.73,1279.03,1208.71,3205.94,2640.06,2842.54,1377.5,1472.29,1491.64,2769.26,2716.64,2424.24,2855.3
1964,727.66,634.62,826.53,775.95,706.08,532.02,825.92,533.88,584.84,788.69,751.33,646.66,494.71,854.77,723.62,628.84,832.87,699.71,625.75,622.55,648.87,920.08,926.38,1916.88,1654.82,2750.42,1395.5,1526.27,1551.74,2696.08,2631.3,2282.11,2802
1965,986.98,1055.25,1089.83,1050.5,940.44,962.28,1078.93,854.89,1013.26,671.95,1337.98,883,792.25,898.98,1073.43,1082.56,889.69,890.37,893.86,870.35,952.97,919.28,1202.01,2661.79,2156.86,2836.26,1846.2,2615.07,2685.29,2585.67,2523.33,2189.27,2687.6
1966,947.6,942.36,1104.15,910.03,975.52,815.61,1161.92,794.51,951.01,869.07,1121.5,901.85,759.85,790.98,981.93,1010.92,866.91,965.87,915.21,894.21,955,994.28,1047.85,2875.76,2405.19,3464.7,1289.3,1417.11,1436.75,3838.18,3766.37,3351.4,3955.6
1967,726,828.5,800.64,736.21,813.84,704.58,966.02,621.73,767.24,561.71,977.9,736.05,595.21,565.64,738.71,868.4,623.59,692.47,690.76,661.9,689.29,549.97,828.89,3300.76,2721.1,3094.86,1347.7,1764.67,1784.46,3289.27,3202.78,2732.16,3430.7
